 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39
851,4386.590,2232.803,4069.173,2445.890,9861.815,3271.372,2302.599,2307.691,1917.188,3395.143,3108.493,1752.303,3577.611,2990.835,2081.364,2159.883,3352.878,4082.193,7356.165,5013.649,7025.588,1950.960,1726.071,2284.314,1321.951,6984.505,2143.676,12046.469,4316.387,4869.906,1687.956,1743.196,2220.472,6946.451,2371.310,4441.051,3972.785,2058.949,3471.513
852,4391.980,2234.176,4068.388,2449.302,9858.451,3272.664,2299.436,2307.026,1918.433,3396.230,3106.219,1752.435,3583.902,2991.045,2083.109,2160.175,3352.681,4083.154,7351.580,5015.385,7027.396,1949.419,1725.863,2283.911,1324.727,6991.121,2140.356,12053.341,4326.766,4873.094,1685.984,1741.865,2221.944,6944.792,2371.033,4442.517,3980.606,2060.305,3469.186
853,4388.039,2231.871,4066.601,2447.901,9858.255,3271.759,2298.948,2306.266,1917.838,3395.792,3103.810,1753.819,3582.314,2986.671,2081.479,2163.472,3354.983,4087.385,7351.768,5016.815,7017.595,1947.466,1724.658,2279.002,1323.064,6988.895,2140.781,12050.033,4351.291,4870.949,1684.745,1740.603,2220.805,6938.048,2369.278,4436.583,3972.446,2056.862,3463.338
854,4389.379,2230.276,4070.833,2446.115,9864.080,3275.673,2303.825,2304.850,1918.861,3396.779,3108.341,1757.958,3583.236,2990.313,2088.683,2167.148,3354.513,4088.720,7357.048,5016.705,7023.083,1947.063,1725.698,2279.784,1326.192,6993.481,2140.402,12066.804,4371.010,4879.261,1687.704,1742.766,2221.649,6945.030,2370.088,4441.731,3975.878,2057.781,3468.872
855,4390.839,2234.433,4073.302,2448.745,9865.353,3275.354,2298.986,2304.931,1916.810,3397.611,3106.176,1757.800,3580.600,2984.839,2083.172,2167.149,3351.185,4088.027,7351.082,5014.770,7016.809,1946.318,1725.719,2276.077,1324.186,6993.747,2141.239,12060.862,4392.891,4879.268,1686.740,1740.767,2221.403,6939.360,2367.936,4439.875,3973.060,2057.514,3468.469
856,4384.244,2234.533,4073.441,2447.136,9870.733,3275.021,2302.541,2307.404,1919.134,3399.735,3108.386,1760.011,3584.095,2986.818,2087.449,2169.262,3349.131,4092.648,7354.484,5016.651,7029.069,1944.761,1723.745,2275.521,1325.269,6999.146,2140.922,12071.016,4413.866,4883.883,1686.726,1741.581,2222.470,6940.117,2368.556,4442.755,3974.446,2057.126,3468.764
857,4386.228,2234.012,4069.211,2447.339,9860.502,3272.426,2302.631,2307.716,1918.362,3396.388,3107.032,1760.650,3582.148,2985.347,2088.796,2171.078,3352.274,4080.299,7350.290,5012.707,7026.123,1943.577,1722.637,2273.816,1322.749,6999.288,2139.973,12076.877,4425.745,4881.947,1686.260,1741.512,2222.597,6940.384,2367.945,4440.087,3970.474,2056.007,3469.299
858,4382.978,2233.333,4070.224,2444.614,9861.464,3271.967,2300.863,2308.455,1915.888,3391.052,3104.862,1761.716,3582.876,2987.786,2088.135,2173.092,3350.035,4085.281,7347.093,5009.704,7019.048,1940.258,1723.141,2272.000,1324.497,6995.574,2139.421,12073.303,4449.299,4882.769,1686.906,1740.597,2220.721,6936.486,2367.235,4438.320,3970.490,2056.051,3466.397
859,4381.599,2233.681,4073.712,2444.190,9854.518,3270.184,2300.716,2307.084,1917.111,3391.965,3100.976,1761.201,3575.312,2984.641,2090.357,2170.170,3349.459,4089.905,7349.185,5007.198,7019.905,1940.223,1723.226,2270.106,1324.506,6993.894,2140.212,12073.837,4474.120,4888.146,1686.800,1740.952,2220.471,6940.899,2365.655,4436.670,3971.036,2056.762,3467.650
860,4381.507,2232.026,4064.944,2444.758,9848.223,3269.396,2302.857,2304.793,1915.485,3393.267,3100.237,1762.765,3579.680,2985.082,2090.761,2168.500,3349.936,4085.190,7348.361,5006.578,7018.075,1937.335,1723.338,2265.332,1324.041,6998.575,2140.690,12082.269,4492.058,4886.624,1685.028,1741.654,2219.441,6939.067,2367.856,4437.953,3967.466,2055.095,3472.533
861,4380.140,2232.348,4062.485,2448.236,9851.356,3267.176,2297.057,2307.389,1916.378,3392.943,3099.675,1765.804,3577.569,2983.250,2093.381,2167.984,3351.855,4082.235,7349.125,5009.118,7019.407,1936.978,1721.617,2266.641,1324.675,7000.034,2138.795,12086.443,4517.652,4887.271,1684.974,1742.329,2219.912,6937.432,2367.716,4437.834,3968.580,2053.600,3469.963
862,4383.731,2230.140,4064.998,2446.377,9859.626,3269.584,2299.612,2305.901,1918.962,3395.730,3103.162,1766.750,3582.401,2981.811,2091.971,2173.923,3349.762,4089.946,7355.909,5008.579,7012.592,1936.679,1723.183,2264.368,1324.084,7005.814,2138.899,12099.039,4545.531,4900.007,1684.478,1740.298,2220.466,6943.554,2365.736,4437.032,3970.514,2055.431,3469.597
863,4380.517,2231.788,4065.757,2447.025,9857.956,3271.315,2301.749,2305.031,1917.766,3395.801,3104.873,1767.979,3583.706,2981.164,2094.413,2177.991,3352.598,4094.418,7360.712,5012.542,7019.409,1934.706,1721.395,2261.340,1326.238,7002.293,2140.037,12111.128,4570.690,4898.912,1687.343,1740.160,2222.921,6947.604,2367.414,4438.810,3969.804,2056.678,3469.656
864,4378.270,2230.533,4061.205,2444.562,9849.332,3268.761,2301.371,2301.324,1916.406,3393.935,3103.423,1767.799,3576.805,2976.393,2093.677,2176.168,3351.128,4083.544,7348.095,5003.451,7004.725,1932.018,1719.017,2257.187,1323.720,6996.728,2140.248,12093.601,4588.586,4890.146,1685.639,1738.669,2219.855,6933.565,2363.736,4431.032,3963.828,2052.540,3466.810
865,4376.337,2230.774,4061.530,2445.601,9850.436,3270.034,2297.281,2300.693,1917.614,3392.962,3102.486,1767.938,3580.375,2978.895,2095.635,2179.297,3351.384,4085.635,7348.591,5003.249,7004.949,1932.237,1719.727,2257.536,1322.566,7000.099,2139.044,12104.214,4618.585,4897.319,1684.884,1740.828,2223.680,6931.781,2365.234,4438.585,3963.174,2052.625,3464.874
