 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
495,967.461,1104.577,1276.963,1028.173,966.822,977.055,956.086,988.433,972.982,981.878,942.299,907.733,926.444,1080.507,1110.722,1066.116,981.477,977.093,948.984,924.981,1058.075,1066.347,994.288,1004.719,1055.935,942.748,944.195,983.763,982.424,1046.847,1057.095,1072.007,951.534,961.764,962.827,1015.890,1004.752,978.923,1041.015,1006.148,962.723,1047.740,1036.761,955.522,990.424,954.953
496,963.882,1101.755,1271.756,1028.977,968.061,976.758,958.104,989.237,973.715,982.994,941.113,908.035,925.329,1079.258,1109.987,1063.833,980.120,976.547,948.127,926.963,1057.158,1064.997,994.299,1002.595,1053.146,941.496,942.825,981.961,981.533,1046.238,1056.370,1071.883,950.221,961.422,962.207,1017.059,1004.065,980.002,1038.050,1004.632,964.166,1046.173,1036.212,955.631,989.565,953.888
497,963.521,1098.395,1267.949,1029.709,967.130,976.880,957.535,988.104,970.966,980.251,939.161,908.037,925.883,1076.793,1107.269,1061.962,979.402,975.932,946.542,925.827,1053.270,1062.347,991.480,1004.071,1052.622,939.504,943.283,980.594,979.554,1043.208,1054.933,1068.272,949.338,960.947,962.874,1015.335,1003.168,978.178,1036.334,1005.853,963.361,1044.109,1034.885,955.607,987.336,953.267
498,960.013,1099.873,1265.385,1029.011,967.980,976.040,956.710,986.810,972.513,980.677,939.678,907.223,924.617,1075.799,1106.052,1060.053,978.476,975.561,946.008,925.391,1052.301,1060.870,993.165,1001.740,1051.064,939.441,943.620,982.143,981.003,1044.304,1052.568,1065.693,948.560,960.888,962.289,1015.240,1003.375,978.388,1037.124,1007.129,962.113,1043.756,1032.845,953.028,987.068,950.754
499,959.701,1097.671,1258.690,1027.277,967.144,976.289,955.264,986.720,970.829,981.862,938.922,905.763,923.988,1075.102,1105.087,1057.551,978.407,976.918,944.771,922.303,1048.689,1057.120,991.503,1000.942,1051.349,940.834,943.147,979.241,978.262,1040.785,1051.677,1065.604,946.872,959.396,961.277,1014.281,1001.304,978.085,1035.209,1005.718,961.687,1040.048,1032.014,953.245,987.580,949.412
500,958.178,1096.460,1255.018,1028.472,966.964,976.744,956.224,985.616,972.637,979.760,941.466,906.208,922.864,1075.029,1103.791,1056.470,977.719,975.394,943.590,924.302,1047.224,1058.848,991.270,1001.114,1049.116,939.087,943.734,981.827,978.041,1039.108,1050.437,1061.779,948.014,961.381,961.865,1014.526,1002.061,978.585,1034.765,1007.241,961.811,1039.852,1032.179,953.773,985.682,951.416
501,955.267,1093.183,1251.771,1027.719,967.398,974.844,956.382,986.585,970.652,978.982,939.565,907.035,922.788,1074.800,1100.641,1052.571,977.696,974.198,943.162,924.544,1045.205,1054.065,992.094,999.605,1048.057,938.881,942.576,982.111,978.440,1038.024,1047.839,1059.661,948.567,958.986,961.648,1012.368,1001.026,977.360,1033.273,1006.242,962.402,1035.710,1030.051,953.341,984.916,950.386
502,955.359,1091.350,1245.966,1027.372,965.479,976.693,956.571,984.302,970.837,978.226,939.075,905.461,923.441,1073.511,1098.960,1055.022,980.398,974.818,942.227,922.645,1043.007,1051.308,990.914,1000.758,1046.526,937.723,943.176,980.694,977.048,1035.834,1046.790,1060.444,948.092,957.361,960.417,1011.631,1001.497,976.475,1030.965,1005.178,962.780,1034.876,1029.545,951.750,982.935,949.202
503,954.865,1090.478,1243.952,1028.611,965.925,975.004,956.560,997.386,971.126,979.313,939.774,905.575,922.576,1072.540,1099.619,1052.225,977.793,974.574,941.720,923.481,1041.702,1051.679,990.278,1000.350,1046.585,938.888,941.833,980.896,978.694,1034.314,1045.556,1056.179,947.902,959.205,960.524,1011.669,1001.275,978.336,1030.567,1005.257,961.834,1036.425,1029.858,952.181,985.893,948.610
504,955.533,1087.952,1239.215,1028.979,965.830,976.371,958.391,1005.157,971.617,978.290,937.931,906.944,922.312,1071.137,1099.046,1051.355,979.625,972.577,940.620,923.350,1040.581,1049.287,988.902,999.400,1045.119,938.485,941.635,981.813,980.111,1033.602,1043.584,1057.239,947.339,957.197,960.367,1010.281,1000.820,978.008,1027.836,1005.761,962.056,1031.094,1027.838,952.965,982.384,946.650
